player,games_played,seasons_played,pos_mapped,avg_ts_percent,avg_per,avg_mpg,avg_x3p_ar,avg_orb_percent,avg_drb_percent,avg_ast_percent,avg_stl_percent,avg_blk_percent,avg_tov_percent,avg_usg_percent,avg_ows_48,avg_dws_48,avg_obpm,avg_dbpm,avg_bpm,avg_vorp,max_ts_percent,max_per,max_mpg,max_x3p_ar,max_orb_percent,max_drb_percent,max_ast_percent,max_stl_percent,max_blk_percent,max_tov_percent,max_usg_percent,max_ows_48,max_dws_48,max_obpm,max_dbpm,max_bpm,max_vorp,cluster_label,ALL_NBA_total,ALL_DEF_total,1T_ALL_NBA_total,2T_ALL_NBA_total,3T_ALL_NBA_total,1T_ALL_DEF_total,2T_ALL_DEF_total,DPOY_total,MIP_total,MVP_total,ROY_total,SMOY_total
Steve Johnson,577,8,5.0,1.458,0.338,-0.182,-0.645,0.96,0.864,-0.702,-0.912,0.726,0.934,0.656,-0.013,0.122,-0.389,-0.216,-0.432,-0.536,2.75,0.934,0.57,-0.473,1.712,1.131,-0.444,-0.626,1.374,1.367,1.498,0.769,0.713,0.035,0.525,0.302,-0.071,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.J. Anderson,157,3,3.0,-1.494,-0.758,-1.447,-0.299,1.093,-0.282,-0.776,1.043,-0.029,-0.413,-0.147,-1.463,0.865,-0.935,0.021,-0.857,-0.708,-0.022,-0.185,-0.78,-0.108,2.109,0.255,-0.531,1.651,0.217,0.021,0.355,-0.188,2.833,-0.325,1.005,-0.271,-0.549,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Kite,605,9,5.0,-1.741,-2.026,-1.046,-0.671,0.942,0.822,-1.029,-1.181,0.78,1.976,-1.885,-1.433,0.015,-1.869,0.204,-1.557,-0.979,-0.511,-1.672,0.259,-0.458,1.634,1.279,-0.761,-0.616,1.49,3.377,-1.388,-0.898,1.024,-1.271,0.619,-0.943,-0.893,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Closs,115,2,5.0,-0.464,-0.077,-1.254,-0.877,0.708,0.364,-1.013,-1.389,3.153,-0.283,-0.758,-0.615,-0.791,-0.672,0.085,-0.55,-0.653,-0.064,-0.035,-1.115,-0.854,0.773,0.417,-0.975,-1.353,3.487,-0.199,-0.515,-0.293,-0.673,-0.574,0.273,-0.539,-0.627,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Duckworth,610,8,5.0,-0.385,-0.649,0.149,-0.751,0.543,0.56,-0.969,-1.111,-0.194,-0.124,0.275,-0.619,0.041,-0.91,-0.973,-1.198,-1.061,0.659,0.157,0.981,-0.671,1.163,0.859,-0.851,-0.707,0.051,1.108,0.809,0.417,0.818,-0.132,-0.116,-0.59,-0.694,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Marty Conlon,321,5,5.0,0.078,-0.388,-0.987,-0.739,0.719,0.277,-0.532,-0.703,-0.451,0.365,-0.127,-0.333,-1.044,-0.406,-1.149,-0.82,-0.75,0.435,0.474,0.071,-0.542,1.251,0.866,-0.27,-0.528,-0.15,1.322,0.545,0.419,-0.333,0.233,-1.022,-0.206,-0.533,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Abernethy,67,1,4.0,-0.419,-1.018,-0.849,-0.479,-0.478,-0.215,-0.676,-0.649,-0.547,-1.414,-1.334,-0.047,-0.864,-0.403,-0.268,-0.496,-0.673,-0.419,-1.018,-0.849,-0.479,-0.478,-0.215,-0.676,-0.649,-0.547,-1.414,-1.334,-0.047,-0.864,-0.403,-0.268,-0.496,-0.673,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dario Šarić,413,6,4.167,-0.007,-0.188,-0.225,0.295,0.515,0.622,-0.324,-0.473,-0.685,0.343,0.217,-0.272,-0.017,-0.127,-0.561,-0.356,-0.353,0.532,0.227,0.737,0.58,0.778,1.041,0.055,0.351,-0.42,0.885,1.025,0.56,0.458,0.853,0.032,0.526,0.613,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Green,127,2,2.0,0.639,-0.751,-0.597,-0.092,-0.001,-0.758,-0.485,0.535,-0.703,0.682,-0.884,-0.144,-0.232,-0.873,0.257,-0.61,-0.661,1.18,-0.676,0.047,0.294,0.208,-0.608,-0.375,1.185,-0.438,0.71,-0.823,-0.075,0.737,-0.746,1.097,-0.366,-0.477,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,945,13,5.0,0.478,0.778,0.964,-0.412,0.469,1.01,0.289,-0.589,0.836,-0.466,-0.191,0.776,0.95,0.824,1.087,1.179,1.272,1.205,1.563,1.623,1.468,1.571,1.822,1.129,-0.139,1.574,0.582,0.615,1.508,2.025,1.43,2.371,1.839,1.938,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Isaiah Stewart,189,3,5.0,-0.181,-0.09,0.005,-0.771,1.753,1.381,-0.876,-1.165,1.233,0.294,-0.614,-0.194,-0.032,-0.688,-0.473,-0.793,-0.761,0.429,0.339,0.394,0.408,2.164,1.532,-0.85,-0.396,2.072,0.624,-0.377,0.14,1.072,-0.386,0.374,-0.41,-0.458,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Olberding,624,8,3.75,1.006,-0.579,0.139,-0.434,-0.201,0.468,-0.096,-0.736,-0.536,0.959,-0.851,0.224,-0.729,-0.302,-0.063,-0.31,-0.381,1.729,0.064,0.76,-0.075,0.139,0.866,0.646,-0.32,-0.363,1.902,-0.133,0.889,-0.126,0.267,0.493,0.16,0.089,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Jones,173,3,4.667,0.894,-0.713,-1.507,-1.026,0.785,0.165,-0.951,-1.221,1.676,0.426,-1.105,0.068,0.144,-1.456,0.418,-1.116,-0.804,2.533,-0.45,-1.409,-0.995,0.842,0.223,-0.669,-0.946,2.011,0.837,-0.673,0.822,0.391,-1.14,0.747,-0.875,-0.7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Bowen,485,8,3.0,-0.981,-0.978,-1.364,-0.68,0.792,-0.819,-0.856,1.54,-0.028,-0.877,-1.767,-0.25,0.127,-0.789,1.407,-0.146,-0.467,1.543,-0.205,-0.251,-0.066,2.029,-0.041,-0.527,2.723,0.786,0.687,-1.398,0.656,1.305,-0.235,2.666,0.794,-0.026,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaSalle Thompson,891,12,5.0,-0.02,-0.213,-0.254,-0.7,1.352,1.74,-0.759,-0.037,0.951,1.072,-0.538,-0.566,0.523,-0.657,0.389,-0.393,-0.41,0.933,0.778,0.659,-0.526,2.598,2.282,-0.384,0.438,2.422,3.056,0.243,0.162,1.745,0.223,1.015,0.464,0.424,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jermaine O'Neal,926,15,4.467,-0.167,0.706,0.261,-1.01,0.793,1.263,-0.547,-1.23,2.066,-0.13,1.002,-0.373,1.164,-0.185,0.468,0.038,0.006,0.604,2.044,1.401,-0.846,2.108,2.083,0.171,-0.725,2.994,0.69,3.452,0.864,2.167,0.994,1.397,1.177,1.446,0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lamond Murray,703,10,3.0,-0.308,-0.096,-0.019,0.292,-0.108,-0.015,-0.575,0.336,-0.232,-0.375,0.624,-0.643,-0.626,0.062,-0.799,-0.288,-0.384,0.636,0.842,0.851,1.33,0.253,1.241,-0.158,0.842,0.103,-0.029,1.303,0.423,1.394,0.95,-0.153,0.397,0.323,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calvin Garrett,162,3,3.0,-0.774,-1.381,-0.846,0.047,-0.501,-0.45,-0.538,-0.283,-0.762,-0.101,-0.976,-0.713,-0.576,-1.008,-0.307,-1.07,-0.86,0.478,-1.009,-0.243,0.324,-0.181,-0.17,-0.35,0.098,-0.679,0.233,-0.405,-0.244,-0.333,-0.779,0.223,-0.891,-0.859,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doug West,571,8,2.0,-0.187,-0.751,0.055,-0.589,-0.571,-0.754,-0.247,-0.339,-0.388,-0.433,-0.11,-0.515,-1.175,-0.746,-0.73,-0.967,-0.828,0.745,0.075,1.554,0.05,0.193,0.368,0.284,0.717,0.292,0.702,0.749,0.745,0.905,0.32,0.228,-0.142,-0.192,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wesley Matthews,950,14,2.179,0.025,-0.692,0.589,1.303,-0.769,-1.098,-0.521,0.063,-0.705,-0.857,-0.479,-0.088,-0.366,-0.23,0.133,-0.139,-0.052,1.159,0.342,1.35,1.95,-0.101,-0.575,-0.02,1.099,-0.288,-0.144,0.47,1.263,0.859,1.01,1.15,1.276,1.11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blair Rasmussen,510,7,5.0,-0.72,-0.309,-0.413,-0.675,0.51,1.086,-0.864,-1.225,0.655,-1.335,0.099,-0.549,0.14,-0.826,-0.955,-1.11,-0.848,-0.085,0.431,0.906,-0.477,1.716,1.748,-0.686,-1.008,1.257,0.973,1.041,0.466,1.619,-0.172,-0.048,-0.158,-0.318,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles Jones,655,10,4.7,-0.895,-1.387,-0.547,-0.734,0.576,0.612,-0.935,-0.332,2.235,1.761,-2.782,-0.613,0.734,-1.228,1.964,-0.244,-0.39,0.638,-0.896,0.281,-0.576,1.278,0.902,-0.691,0.438,3.021,4.771,-2.099,0.019,1.684,-0.882,2.731,0.35,0.002,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Junior Bridgeman,488,7,3.0,-0.213,0.269,0.154,-0.058,-0.891,-0.511,0.139,-0.481,-0.638,-1.152,0.903,0.353,-0.29,0.322,-0.687,-0.027,-0.197,0.152,0.681,0.69,0.075,-0.543,-0.245,0.397,0.082,-0.458,-0.885,1.462,0.822,0.517,0.759,-0.146,0.598,0.453,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaBradford Smith,183,3,2.0,-0.982,-0.969,-0.89,0.058,-0.82,-1.119,0.482,0.827,-0.789,0.279,0.053,-1.042,-1.35,-1.166,-0.314,-1.111,-0.847,-0.4,-0.78,-0.247,0.664,-0.605,-0.917,0.636,1.867,-0.713,1.296,0.164,-0.616,-1.1,-0.578,-0.052,-0.556,-0.627,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Jones,131,2,2.25,-1.674,-1.201,-1.45,-0.006,-0.354,-0.83,-0.543,0.977,0.073,-0.136,-0.189,-1.123,-0.61,-1.172,0.169,-0.963,-0.708,-1.447,-0.87,-1.223,0.078,-0.183,-0.77,-0.305,1.188,0.182,0.358,-0.131,-1.123,-0.61,-0.782,0.533,-0.772,-0.668,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larry Hughes,682,11,1.818,-0.815,0.157,0.587,0.034,-0.543,-0.44,0.418,1.464,-0.473,-0.265,0.949,-0.61,-0.075,0.085,0.111,0.118,-0.025,0.133,1.73,1.54,0.697,0.819,0.159,1.289,3.38,-0.318,0.579,1.856,0.952,0.88,1.151,1.548,1.691,1.61,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Songaila,448,6,4.5,0.144,-0.223,-0.7,-1.034,0.331,-0.022,-0.355,0.558,-0.444,-0.12,-0.225,-0.078,-0.394,-0.569,-0.135,-0.572,-0.634,0.867,0.115,-0.408,-0.977,1.236,0.19,0.04,1.47,-0.345,0.418,0.428,0.856,0.575,-0.081,0.268,-0.208,-0.341,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andray Blatche,509,7,4.286,-0.54,0.586,-0.227,-0.842,1.158,0.734,-0.246,0.763,0.957,0.31,0.823,-0.571,0.109,-0.159,0.005,-0.15,-0.257,0.292,1.804,1.119,-0.332,1.783,0.9,0.039,2.11,2.842,1.014,1.469,0.542,1.22,0.713,0.75,0.968,0.402,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onyeka Okongwu,178,3,5.0,2.072,0.836,-0.896,-1.866,2.069,0.669,-0.973,0.178,2.12,0.459,-0.818,1.394,0.563,-0.269,0.622,0.018,-0.215,2.765,1.145,-0.288,-1.776,2.164,1.057,-0.769,0.724,2.379,0.685,-0.74,2.024,0.848,0.057,0.646,0.303,0.157,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chucky Atkins,599,8,1.063,0.064,-0.207,0.162,1.439,-1.25,-1.443,1.092,-0.389,-0.92,-0.135,0.277,0.154,-0.918,0.344,-1.125,-0.149,-0.278,1.128,0.734,1.169,2.084,-1.112,-1.318,1.813,0.049,-0.856,0.232,1.11,1.558,-0.3,1.346,-0.564,0.317,0.193,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Lyles,500,7,4.0,-0.35,-0.257,-0.822,0.398,0.122,0.934,-0.623,-0.788,-0.021,-0.413,0.043,-0.405,-0.069,-0.146,-0.548,-0.363,-0.436,0.723,0.683,-0.555,1.02,0.388,1.479,-0.394,-0.357,0.322,0.04,0.759,0.864,0.571,0.938,-0.01,0.526,0.07,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.J. Hairston,111,2,2.5,-1.857,-1.554,-0.862,1.532,-0.605,-0.523,-0.979,-0.318,-0.388,-1.368,-0.171,-1.796,-0.053,-1.334,-0.461,-1.369,-0.956,-1.714,-1.317,-0.544,1.542,-0.454,-0.423,-0.938,0.021,-0.104,-1.142,0.252,-1.622,0.394,-1.042,-0.274,-1.069,-0.743,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrance Ferguson,191,3,2.333,-0.622,-1.935,-0.531,1.784,-0.694,-1.742,-1.119,-0.566,-0.5,-0.939,-1.7,-0.705,-0.704,-1.608,0.0,-1.405,-1.139,0.128,-1.594,0.314,1.91,-0.529,-1.589,-1.038,0.083,-0.377,-0.117,-1.582,-0.148,-0.455,-1.277,0.174,-1.194,-0.881,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Wilcox,566,9,4.5,0.982,0.239,-0.609,-1.031,0.819,0.865,-0.77,-0.447,-0.027,-0.061,-0.051,0.26,-0.357,-0.265,-0.631,-0.493,-0.549,4.0,0.867,0.757,-0.977,1.37,1.466,-0.586,0.533,0.597,0.763,0.524,1.198,1.126,0.363,1.285,0.135,-0.211,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Gooden,687,10,4.1,-0.317,0.436,0.15,-0.839,1.274,1.234,-0.64,-0.341,0.038,-0.401,0.483,-0.068,0.342,-0.017,-0.694,-0.29,-0.354,0.532,1.272,0.639,-0.273,2.19,2.176,0.299,0.234,0.634,0.151,1.284,0.872,1.57,0.823,-0.001,0.704,0.756,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
