,player_id,player,games_played,seasons_played,avg_ts_percent,avg_per,avg_mpg,avg_x3p_ar,avg_orb_percent,avg_drb_percent,avg_ast_percent,avg_stl_percent,avg_blk_percent,avg_tov_percent,avg_usg_percent,avg_ows_48,avg_dws_48,avg_obpm,avg_dbpm,avg_bpm,avg_vorp,max_ts_percent,max_per,max_mpg,max_x3p_ar,max_orb_percent,max_drb_percent,max_ast_percent,max_stl_percent,max_blk_percent,max_tov_percent,max_usg_percent,max_ows_48,max_dws_48,max_obpm,max_dbpm,max_bpm,max_vorp,ALL_NBA_total,ALL_DEF_total,1T_ALL_NBA_total,2T_ALL_NBA_total,3T_ALL_NBA_total,1T_ALL_DEF_total,2T_ALL_DEF_total,DPOY_total,MIP_total,MVP_total,ROY_total,SMOY_total
1225,2077,LaSalle Thompson,891,12,-0.02,-0.213,-0.254,-0.7,1.352,1.74,-0.759,-0.037,0.951,1.072,-0.538,-0.566,0.523,-0.657,0.389,-0.393,-0.41,0.933,0.778,0.659,-0.526,2.598,2.282,-0.384,0.438,2.422,3.056,0.243,0.162,1.745,0.223,1.015,0.464,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1226,2500,Doug West,571,8,-0.187,-0.751,0.055,-0.589,-0.571,-0.754,-0.247,-0.338,-0.388,-0.433,-0.11,-0.515,-1.175,-0.746,-0.73,-0.967,-0.828,0.745,0.075,1.554,0.05,0.193,0.368,0.284,0.717,0.292,0.702,0.749,0.745,0.905,0.32,0.228,-0.142,-0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1227,2109,Charles Jones,655,10,-0.895,-1.387,-0.547,-0.734,0.576,0.612,-0.935,-0.332,2.235,1.761,-2.782,-0.613,0.734,-1.228,1.964,-0.244,-0.39,0.638,-0.896,0.281,-0.576,1.278,0.902,-0.691,0.438,3.021,4.771,-2.099,0.019,1.684,-0.882,2.731,0.35,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1228,2225,Blair Rasmussen,510,7,-0.72,-0.309,-0.413,-0.675,0.51,1.086,-0.864,-1.225,0.655,-1.335,0.099,-0.549,0.14,-0.826,-0.955,-1.11,-0.848,-0.085,0.431,0.906,-0.477,1.716,1.748,-0.686,-1.008,1.257,0.973,1.041,0.466,1.619,-0.172,-0.048,-0.158,-0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1229,2282,Anthony Jones,131,2,-1.674,-1.201,-1.45,-0.006,-0.354,-0.83,-0.543,0.977,0.073,-0.136,-0.189,-1.123,-0.61,-1.172,0.169,-0.963,-0.708,-1.447,-0.87,-1.223,0.078,-0.183,-0.77,-0.305,1.188,0.182,0.358,-0.131,-1.123,-0.61,-0.782,0.533,-0.772,-0.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1230,3215,Ryan Bowen,485,8,-0.981,-0.978,-1.364,-0.68,0.792,-0.819,-0.856,1.54,-0.028,-0.877,-1.767,-0.25,0.127,-0.789,1.407,-0.146,-0.467,1.543,-0.205,-0.251,-0.066,2.029,-0.041,-0.527,2.723,0.786,0.687,-1.398,0.656,1.305,-0.235,2.666,0.794,-0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1231,2993,Jermaine O'Neal,926,15,-0.167,0.706,0.261,-1.01,0.793,1.263,-0.547,-1.23,2.066,-0.13,1.002,-0.373,1.164,-0.185,0.468,0.038,0.006,0.604,2.044,1.401,-0.846,2.108,2.083,0.171,-0.725,2.994,0.69,3.452,0.864,2.167,0.994,1.397,1.177,1.446,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1232,3914,Wesley Matthews,950,14,0.025,-0.692,0.589,1.303,-0.769,-1.098,-0.521,0.063,-0.705,-0.857,-0.479,-0.088,-0.366,-0.23,0.133,-0.139,-0.052,1.159,0.342,1.35,1.95,-0.101,-0.575,-0.02,1.099,-0.288,-0.144,0.47,1.263,0.859,1.01,1.15,1.276,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1233,2876,Lamond Murray,703,10,-0.308,-0.096,-0.019,0.292,-0.108,-0.015,-0.575,0.336,-0.232,-0.375,0.624,-0.643,-0.626,0.062,-0.799,-0.288,-0.384,0.636,0.842,0.851,1.33,0.253,1.241,-0.158,0.842,0.103,-0.029,1.303,0.423,1.394,0.95,-0.153,0.397,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1234,2262,Mike Smrek,91,2,-0.472,-1.451,-1.422,-0.709,0.153,0.358,-1.174,-1.063,2.876,1.136,-0.803,-1.395,0.652,-2.298,0.863,-1.651,-0.807,-0.217,-1.267,-1.044,-0.671,0.217,0.49,-1.138,-1.008,2.882,1.189,-0.63,-1.332,1.079,-1.843,1.038,-1.348,-0.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1235,2664,LaBradford Smith,183,3,-0.982,-0.969,-0.89,0.058,-0.82,-1.119,0.482,0.827,-0.789,0.279,0.053,-1.042,-1.35,-1.166,-0.314,-1.111,-0.847,-0.4,-0.78,-0.247,0.664,-0.605,-0.917,0.636,1.867,-0.713,1.296,0.164,-0.616,-1.1,-0.578,-0.052,-0.556,-0.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
